designation,ra,dec,clon,clat,sigra,sigdec,sigradec,w1mpro,w1sigmpro,w1snr,w1rchi2,w2mpro,w2sigmpro,w2snr,w2rchi2,w3mpro,w3sigmpro,w3snr,w3rchi2,w4mpro,w4sigmpro,w4snr,w4rchi2,nb,na,w1sat,w2sat,w3sat,w4sat,pmra,sigpmra,pmdec,sigpmdec,cc_flags,ext_flg,var_flg,ph_qual,moon_lev,w1nm,w1m,w2nm,w2m,w3nm,w3m,w4nm,w4m
J002408.59-720354.9,6.0358121,-72.0652729,00h24m08.59s,-72d03m54.98s,0.0332,0.0334,-0.0039,5.147,0.056,19.2,1.160E+01,5.439,0.049,22.0,4.490E+00,4.957,0.015,71.4,9.691E-01,4.329,0.028,38.5,9.823E-01,1,0,0.195,0.140,0.000,0.000,31,27,-305,28,hHH0,3,3nn1,AAAA,0011,44,44,44,44,20,20,20,20
J002414.48-720508.8,6.0603513,-72.0857916,00h24m14.48s,-72d05m08.85s,0.0396,0.0393,0.0066,5.293,0.228,4.8,1.544E+02,6.553,0.024,44.8,1.474E+01,6.241,0.020,54.6,8.174E+00,5.977,0.046,23.5,3.008E+00,1,0,0.252,0.080,0.000,0.000,520,24,-455,24,ddh0,3,n343,BAAA,0011,34,39,45,45,20,20,20,20
J002357.66-720530.1,5.9902800,-72.0917126,00h23m57.67s,-72d05m30.17s,0.0284,0.0279,-0.0021,4.902,0.040,27.4,6.848E+01,6.251,0.025,43.0,1.440E+02,5.855,0.018,60.4,8.498E+01,5.595,0.043,25.1,8.045E+00,1,0,0.219,0.050,0.000,0.000,2053,25,1015,24,dhd0,3,4n31,AAAA,0011,43,43,43,43,20,20,20,20
J002419.49-720629.6,6.0812212,-72.1082487,00h24m19.49s,-72d06m29.70s,0.0493,0.0475,-0.0074,9.902,0.024,45.5,4.061E+01,10.258,0.028,38.8,1.173E+01,10.375,0.071,15.3,9.437E-01,9.178,null,0.1,1.565E+00,1,0,0.000,0.000,0.000,0.000,-37,38,71,38,ddd0,3,440n,AAAU,0011,44,44,45,45,19,20,0,20
J002437.73-720407.9,6.1572188,-72.0688697,00h24m37.73s,-72d04m07.93s,0.0852,0.0845,-0.0470,11.555,0.039,27.8,6.944E+01,12.875,0.044,24.5,1.404E+01,12.432,null,-2.7,1.158E+00,9.210,null,-2.2,9.616E-01,1,0,0.000,0.000,0.000,0.000,1402,125,-857,117,dd00,3,33nn,AAUU,0011,46,46,46,46,0,21,0,21
J002337.74-720529.2,5.9072514,-72.0914682,00h23m37.74s,-72d05m29.29s,0.0447,0.0455,0.0042,9.704,0.026,41.9,5.201E+00,10.057,0.024,45.2,6.115E+00,10.016,0.083,13.1,9.314E-01,9.072,null,-1.9,9.053E-01,2,0,0.000,0.000,0.000,0.000,-2,40,-27,40,dd00,3,321n,AAAU,0011,43,43,43,43,19,19,1,19
J002406.99-720614.7,6.0291558,-72.1040909,00h24m07.00s,-72d06m14.73s,0.0391,0.0392,0.0077,8.544,0.024,45.0,8.234E+01,8.745,0.022,49.0,5.501E+01,8.812,0.035,31.1,2.588E+00,8.853,null,-4.7,9.032E-01,1,0,0.000,0.000,0.000,0.000,-34,33,-358,33,ddd0,3,330n,AAAU,0011,44,44,44,44,20,20,0,20
J002342.57-720718.5,5.9273813,-72.1218232,00h23m42.57s,-72d07m18.56s,0.0675,0.0626,-0.0060,13.262,0.037,29.0,1.828E+01,16.855,null,-47.6,9.467E+00,12.645,null,-4.7,8.819E-01,9.350,null,-0.4,9.914E-01,1,0,0.000,0.000,0.000,0.000,-892,216,295,207,dD00,3,3nnn,AUUU,0011,43,43,0,43,0,20,0,20
J002427.00-720352.9,6.1125184,-72.0647022,00h24m27.00s,-72d03m52.93s,0.0461,0.0476,-0.0082,9.426,0.026,42.2,1.415E+01,9.739,0.025,43.3,5.292E+00,9.895,0.053,20.3,9.586E-01,9.125,null,-0.6,1.023E+00,2,0,0.000,0.000,0.000,0.000,-32,38,-15,39,dhh0,3,141n,AAAU,0011,45,45,45,45,21,21,0,21
J002341.72-720526.3,5.9238409,-72.0906451,00h23m41.72s,-72d05m26.32s,0.0567,0.0570,0.0093,10.819,0.030,36.1,2.202E+01,11.292,0.031,35.5,7.164E+00,12.356,0.497,2.2,9.627E-01,8.956,null,-3.1,8.022E-01,1,0,0.000,0.000,0.000,0.000,298,50,406,49,ddd0,3,44nn,AACU,0011,43,43,43,43,1,19,0,19
J002411.27-720507.9,6.0469634,-72.0855535,00h24m11.27s,-72d05m07.99s,0.0303,0.0307,0.0078,4.850,0.145,7.5,3.084E+02,5.540,0.090,12.1,7.660E+02,6.319,0.019,56.9,2.742E+01,5.872,0.060,18.2,5.111E+00,1,0,0.283,0.112,0.000,0.000,1126,22,-380,22,ddd0,3,nn42,BAAA,0011,38,41,33,34,20,20,20,20
J002421.77-720300.3,6.0907308,-72.0501050,00h24m21.78s,-72d03m00.38s,0.0316,0.0316,0.0070,6.818,0.033,32.4,8.988E+01,6.967,0.018,59.2,1.430E+02,6.795,0.015,73.9,6.410E+01,6.806,0.090,12.0,9.023E-01,1,0,0.424,0.000,0.000,0.000,463,28,516,28,dhh0,3,3n10,AAAA,0011,45,45,45,45,21,21,19,21
J002333.87-720310.6,5.8911557,-72.0529563,00h23m33.88s,-72d03m10.64s,0.0406,0.0413,0.0093,11.292,0.024,44.5,5.895E+01,11.843,0.022,49.8,1.355E+01,12.552,0.444,2.4,1.014E+00,9.422,null,-1.3,1.016E+00,1,0,0.000,0.000,0.000,0.000,-262,41,-202,41,dh00,3,32nn,AACU,0011,46,46,46,46,0,23,0,23
J002350.65-720421.3,5.9610803,-72.0725997,00h23m50.66s,-72d04m21.36s,0.0359,0.0362,-0.0008,7.366,0.029,37.8,1.829E+01,7.581,0.022,49.8,3.042E+01,7.419,0.020,55.6,9.581E+00,7.512,0.184,5.9,1.296E+00,3,0,0.050,0.000,0.000,0.000,-61,68,-177,66,ddd0,3,255n,AAAB,0011,44,44,44,44,21,21,6,21
J002341.58-720645.4,5.9232742,-72.1126176,00h23m41.59s,-72d06m45.42s,0.0358,0.0364,0.0079,8.179,0.023,47.4,7.412E+00,8.363,0.021,51.2,4.384E+00,8.262,0.028,39.2,8.879E-01,8.325,0.229,4.7,1.109E+00,1,0,0.000,0.000,0.000,0.000,-126,31,125,32,hhd0,3,120n,AAAB,0011,43,43,43,43,20,20,3,20
J002430.14-720458.6,6.1256030,-72.0829666,00h24m30.14s,-72d04m58.68s,0.0413,0.0410,0.0048,8.692,0.025,44.2,1.875E+01,8.858,0.023,46.5,1.026E+01,8.763,0.035,31.0,1.259E+00,9.323,null,-0.4,9.447E-01,1,0,0.000,0.000,0.000,0.000,27,33,-135,33,ddd0,3,141n,AAAU,0011,46,46,46,46,20,20,0,20
J002359.89-720357.1,5.9995650,-72.0658779,00h23m59.90s,-72d03m57.16s,0.0440,0.0416,-0.0046,8.150,0.026,41.5,3.355E+01,8.265,0.024,45.3,2.360E+01,8.282,0.024,45.2,6.030E+00,8.783,0.437,2.5,7.489E-01,2,0,0.000,0.000,0.000,0.000,-551,37,532,36,ddd0,3,442n,AAAC,0011,45,45,45,45,21,21,0,21
J002434.40-720512.8,6.1433662,-72.0869096,00h24m34.41s,-72d05m12.87s,0.0404,0.0400,0.0071,9.068,0.025,44.2,5.731E+01,9.266,0.023,47.9,3.807E+01,9.366,0.036,30.1,1.669E+00,9.303,0.525,2.1,1.101E+00,2,0,0.000,0.000,0.000,0.000,-285,34,548,33,ddd0,3,331n,AAAC,0011,46,46,46,46,21,21,1,21
J002333.93-720650.5,5.8913963,-72.1140544,00h23m33.94s,-72d06m50.60s,0.0401,0.0408,0.0083,9.537,0.024,45.5,1.398E+01,9.786,0.022,48.8,6.703E+00,9.793,0.060,18.0,8.707E-01,9.347,null,-0.4,1.126E+00,1,0,0.000,0.000,0.000,0.000,-177,34,93,35,dd00,3,441n,AAAU,0011,44,44,44,44,21,21,0,21
J002350.14-720710.6,5.9589562,-72.1196320,00h23m50.15s,-72d07m10.68s,0.0673,0.0727,0.0369,11.827,0.035,30.9,1.091E+02,16.665,null,-30.5,4.594E+01,12.578,null,-3.0,1.110E+00,9.174,null,-2.1,1.133E+00,2,0,0.000,0.001,0.000,0.000,229,60,-619,59,dHH0,3,nnnn,AUUU,0011,42,42,3,42,0,20,0,20
J002347.77-720536.7,5.9490712,-72.0935346,00h23m47.78s,-72d05m36.72s,0.0656,0.0632,-0.0084,9.827,0.037,29.7,3.104E+01,9.949,0.033,32.8,1.780E+01,9.393,0.050,21.8,3.956E+00,8.125,0.291,3.7,1.536E+00,2,0,0.000,0.000,0.000,0.000,10,49,743,48,ddd0,3,799n,AAAB,0011,43,43,42,42,19,19,2,20
J002413.61-720709.6,6.0567252,-72.1193470,00h24m13.61s,-72d07m09.65s,0.0398,0.0397,0.0071,9.354,0.023,46.4,1.534E+01,9.713,0.022,49.9,7.579E+00,9.681,0.057,19.0,9.543E-01,9.025,null,0.3,2.042E+00,2,0,0.000,0.000,0.000,0.000,-83,34,8,33,ddd0,3,330n,AAAU,0011,44,44,44,44,19,19,0,19
J002424.05-720326.7,6.1002418,-72.0574371,00h24m24.06s,-72d03m26.77s,0.0328,0.0325,0.0064,7.474,0.025,43.0,2.416E+01,7.674,0.020,55.5,2.528E+01,7.676,0.019,57.5,2.009E+00,7.971,0.228,4.8,8.112E-01,1,0,0.100,0.000,0.000,0.000,-133,40,194,47,ddh0,3,030n,AAAB,0011,46,46,46,46,21,21,3,21
